Marque,Série,Modèle extérieur,Type,URL du document officiel ou portail,Type de document,Couverture confirmée,Niveau de confiance,Statut Deep Research,Anomalie ou limite,Source technique ENERGY STAR
AC PRO,SPHP Series,SPHP-Y-V060BB,central,https://acpro.com/hvac-equipment/,Portail fabricant/distributeur,Série non appariée à un PDF exact,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Z-V018BB,central,https://cdn.acpro.com/documents/PS-10143EN-C_-_SPHP-Z_Product_Specification.pdf,Fiche produit PDF fabricant,Série SPHP-Z 018 à 060,Élevée,Document officiel trouvé et examiné,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Z-V024BB,central,https://cdn.acpro.com/documents/PS-10143EN-C_-_SPHP-Z_Product_Specification.pdf,Fiche produit PDF fabricant,Série SPHP-Z 018 à 060,Élevée,Document officiel trouvé et examiné,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Z-V036BB,central,https://cdn.acpro.com/documents/PS-10143EN-C_-_SPHP-Z_Product_Specification.pdf,Fiche produit PDF fabricant,Série SPHP-Z 018 à 060,Élevée,Document officiel trouvé et examiné,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Z-V048BB,central,https://cdn.acpro.com/documents/PS-10143EN-C_-_SPHP-Z_Product_Specification.pdf,Fiche produit PDF fabricant,Série SPHP-Z 018 à 060,Élevée,Document officiel trouvé et examiné,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AC PRO,SPHP Series,SPHP-Z-V060BB,central,https://cdn.acpro.com/documents/PS-10143EN-C_-_SPHP-Z_Product_Specification.pdf,Fiche produit PDF fabricant,Série SPHP-Z 018 à 060,Élevée,Document officiel trouvé et examiné,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ACIQ,ACIQ Series,ACIQ-06ZPL-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-09ZPL-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-09ZS-HP115C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-09ZS-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-12ZPL-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-12ZS-HP115C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-12ZS-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-18-HPD,central,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ACIQ,ACIQ Series,ACIQ-18ZPL-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-18ZS-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-24-HPD,central,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ACIQ,ACIQ Series,ACIQ-24ZPL-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-24ZS-HP230C,ductless,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
ACIQ,ACIQ Series,ACIQ-30-HPD,central,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ACIQ,ACIQ Series,ACIQ-36-HPD,central,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ACIQ,ACIQ Series,ACIQ-48-HPD,central,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ACIQ,ACIQ Series,ACIQ-60-HPD,central,https://aciq.com/tech-center/mini-splits-tech-center-page/,Portail documentaire fabricant,Marque; sélectionner le modèle,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIR MAX,AIRMAX Free Match,AFMKH18-H2,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
AIR MAX,AIRMAX Free Match,AFMKH24-H2,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
AIR MAX,AIRMAX Free Match,AFMKH30-H2,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
AIR MAX,AIRMAX Free Match,AFMKH36-H2,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
AIR MAX,AIRMAX Free Match,AFMKH42-H2,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
AIR MAX,AIRMAX Free Match,AFMKH48-H2,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
AIR MAX,AIRMAX Free Match,AFMKH60-H2,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
AIR MAX,All MATCH,AWGRC36-H2,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
Air Tempo,Builder Series,ATCB12K454B-O*,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
Air Tempo,Builder Series,ATCB12K454B-O,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
Air Tempo,Builder Series,ATCB18K454B-O*,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
Air Tempo,Builder Series,ATCB18K454B-O,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
Air Tempo,Builder Series,ATCB24K454B-O*,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
Air Tempo,Builder Series,ATCB24K454B-O,ductless,,,,Non établi,Aucune brochure publique suffisamment précise confirmée après recherche approfondie,Code exact recherché dans les sources fabricant et index publics; ne pas associer un PDF générique.,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Mini-Split-Heat-Pumps/akti-mt5s
AIREASE,A7CP21V SERIES,A7CP21V36P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIREASE,A7HP14F SERIES,A7HP14F24P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIREASE,A7HP14F SERIES,A7HP14F30P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIREASE,A7HP14F SERIES,A7HP14F36P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIREASE,A7HP19V SERIES,A7HP19V36P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIREASE,A7HP19V SERIES,A7HP19V60P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIREASE,A7SCP18V Series,A7SCP18V24P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIREASE,A7SCP18V Series,A7SCP18V36P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
AIREASE,A7SCP18V Series,A7SCP18V60P-**A,central,https://www.airease.com/,Portail fabricant,Marque; documents par produit,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Airquest,D5C Series,D5CUHAH18AAK,central,https://www.shareddocs.com/hvac/,Bibliothèque documentaire OEM Carrier/ICP,Marque ICP; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Airquest,D5C Series,D5CUHAH24AAK,central,https://www.shareddocs.com/hvac/,Bibliothèque documentaire OEM Carrier/ICP,Marque ICP; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Airquest,D5C Series,D5CUHAH30AAK,central,https://www.shareddocs.com/hvac/,Bibliothèque documentaire OEM Carrier/ICP,Marque ICP; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Airquest,D5C Series,D5CUHAH36AAK,central,https://www.shareddocs.com/hvac/,Bibliothèque documentaire OEM Carrier/ICP,Marque ICP; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Airquest,D5C Series,D5CURAH18AAK,central,https://www.shareddocs.com/hvac/,Bibliothèque documentaire OEM Carrier/ICP,Marque ICP; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Airquest,D5C Series,D5CURAH24AAK,central,https://www.shareddocs.com/hvac/,Bibliothèque documentaire OEM Carrier/ICP,Marque ICP; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Airquest,D5C Series,D5CURAH30AAK,central,https://www.shareddocs.com/hvac/,Bibliothèque documentaire OEM Carrier/ICP,Marque ICP; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Airquest,D5C Series,D5CURAH36AAK,central,https://www.shareddocs.com/hvac/,Bibliothèque documentaire OEM Carrier/ICP,Marque ICP; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7HP14F SERIES,7HP14F24P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7HP14F SERIES,7HP14F30P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7HP14F SERIES,7HP14F36P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7HP19V SERIES,7HP19V36P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7HP19V SERIES,7HP19V60P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7SCP18V Series,7SCP18V24P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7SCP18V Series,7SCP18V36P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7SCP18V Series,7SCP18V60P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7SHP15V Series,7SHP15V18P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7SHP15V Series,7SHP15V24P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
ALLIED,7SHP15V Series,7SHP15V30P-**A,central,https://www.alliednow.com/,Portail documentaire fabricant,Marque; rechercher le SKU,Moyenne,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Amana,ALZS5B,ALZS5BA1810A*,central,https://www.amana-hac.com/products/heat-pumps/alzs5b,Page fabricant avec brochure,Série et modèles,Élevée,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Amana,ALZS5B,ALZS5BA2410A*,central,https://www.amana-hac.com/products/heat-pumps/alzs5b,Page fabricant avec brochure,Série et modèles,Élevée,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Amana,ALZS5B,ALZS5BA3010A*,central,https://www.amana-hac.com/products/heat-pumps/alzs5b,Page fabricant avec brochure,Série et modèles,Élevée,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Amana,ALZS5B,ALZS5BA3610A*,central,https://www.amana-hac.com/products/heat-pumps/alzs5b,Page fabricant avec brochure,Série et modèles,Élevée,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Amana,ALZS5B,ALZS5BA4210A*,central,https://www.amana-hac.com/products/heat-pumps/alzs5b,Page fabricant avec brochure,Série et modèles,Élevée,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
Amana,ALZS5B,ALZS5BA4810A*,central,https://www.amana-hac.com/products/heat-pumps/alzs5b,Page fabricant avec brochure,Série et modèles,Élevée,Portail officiel trouvé et vérifié; PDF exact à sélectionner lorsque précisé,,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Ducted-Heat-Pumps/3m3x-a2hy
